company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,profitability_score,roe_score,leverage_score,efficiency_score,financial_health_score,health_rating
TORNTPHARM,Mar 2023,12.94,29.54,20.09,0.87,8.67,0.66,12,20,16,8,56,Good
TORNTPHARM,Mar 2024,15.44,31.39,24.15,0.59,9.93,0.74,16,20,16,8,60,Good
TRENT,Mar 2013,-1.27,0.23,-2.19,0.28,2.17,0.97,4,4,20,8,36,Weak
TRENT,Mar 2014,-0.81,-0.43,-1.92,0.34,3.12,1.21,4,4,20,12,40,Average
TRENT,Mar 2015,5.65,3.85,9.07,0.19,13.45,1.03,8,8,20,12,48,Average
TRENT,Mar 2016,3.26,5.34,3.76,0.27,3.67,0.78,4,4,20,8,36,Weak
TRENT,Mar 2017,4.69,7.4,5.49,0.25,4.67,0.82,4,8,20,8,40,Average
TRENT,Mar 2018,4.03,9.64,5.45,0.25,5.34,0.92,4,8,20,8,40,Average
TRENT,Mar 2019,3.61,9.16,5.77,0.3,5.31,1.03,4,8,20,12,44,Average
TRENT,Mar 2020,3.04,15.17,4.44,0.13,2.57,0.63,4,4,20,8,36,Weak
TRENT,Mar 2021,-6.98,4.4,-7.83,0.13,1.2,0.45,4,4,20,4,32,Weak
TRENT,Mar 2022,0.78,13.23,1.48,2.0,2.3,0.58,4,4,12,8,28,Weak
TRENT,Mar 2023,4.78,13.52,15.18,1.72,3.56,1.02,4,16,12,12,44,Average
TRENT,Mar 2024,11.94,15.93,36.31,0.43,8.04,1.73,12,20,20,16,68,Good
TVSMOTOR,Mar 2013,2.64,5.83,22.02,1.19,5.51,2.22,4,20,12,20,56,Good
TVSMOTOR,Mar 2014,2.23,5.87,16.11,0.63,6.7,2.31,4,16,16,20,56,Good
TVSMOTOR,Mar 2015,3.2,5.9,24.75,0.84,11.05,2.24,4,20,16,20,60,Good
TVSMOTOR,Mar 2016,3.77,7.2,23.58,0.6,13.03,2.21,4,20,16,20,60,Good
TVSMOTOR,Mar 2017,4.08,6.99,22.96,0.59,17.23,2.03,4,20,16,20,60,Good
TVSMOTOR,Mar 2018,4.07,9.61,24.83,2.59,4.86,1.24,4,20,8,12,44,Average
TVSMOTOR,Mar 2019,3.6,10.73,22.86,2.93,3.3,1.21,4,20,8,12,44,Average
TVSMOTOR,Mar 2020,3.43,12.01,19.71,3.53,2.66,0.98,4,16,4,8,32,Weak
TVSMOTOR,Mar 2021,3.13,11.49,15.89,3.18,2.57,0.89,4,16,4,8,32,Weak
TVSMOTOR,Mar 2022,3.0,11.31,16.61,3.6,2.93,0.9,4,16,4,8,32,Weak
TVSMOTOR,Mar 2023,4.09,12.59,23.78,4.06,3.04,0.91,4,20,4,8,36,Weak
TVSMOTOR,Mar 2024,4.54,14.05,26.22,3.83,2.91,0.93,4,20,4,8,36,Weak
INDIGO,Mar 2013,8.55,90.71,17886.36,2.5,28.23,353.96,8,20,8,20,56,Good
INDIGO,Mar 2014,4.26,96.11,10772.73,3.18,27.34,317.63,4,20,4,20,48,Average
INDIGO,Mar 2015,9.36,86.33,4939.39,0.15,30.47,228.28,8,20,20,20,68,Good
INDIGO,Mar 2016,12.3,80.4,1534.78,0.06,25.23,82.35,12,20,20,20,72,Excellent
INDIGO,Mar 2017,8.93,88.06,1692.86,0.53,20.75,75.53,8,20,16,20,64,Good
INDIGO,Mar 2018,9.74,86.84,2242.0,0.54,21.12,82.51,8,20,16,20,64,Good
INDIGO,Mar 2019,0.55,100.53,120.93,0.68,21.62,76.4,4,20,16,20,60,Good
INDIGO,Mar 2020,-0.69,88.62,-138.55,0.42,20.7,84.73,4,4,20,20,48,Average
INDIGO,Mar 2021,-42.15,99.98,-1094.15,0.02,14.13,18.05,4,4,20,20,48,Average
INDIGO,Mar 2022,-1.22,97.85,-48.77,0.02,35.0,28.19,4,4,20,20,48,Average
INDIGO,Mar 2023,-0.58,88.02,-40.8,0.02,33.5,51.27,4,4,20,20,48,Average
INDIGO,Mar 2024,11.85,76.3,892.57,0.02,22.61,56.39,12,20,20,20,72,Excellent
